N,d,var,E_in_bar,E_out_bar,E_bias
2,0,0.01,0.070627192,0.613830055,0.608448562
2,0,0.1,0.977450145,0.607900367,0.594848355
2,0,1,0.426239721,1.75158513,1.749680976
2,1,0.01,0.005385647,5.917140783,0.574045365
2,1,0.1,0.010047755,7.50897729,0.651318167
2,1,1,0.253105112,9.373140543,3.324897694
2,2,0.01,0.027583518,0.630925585,0.472020604
2,2,0.1,0.043929757,11.69749254,1.018704206
2,2,1,0.007754519,3.246197865,2.93906274
2,3,0.01,0.044442591,1.770317039,0.903592246
2,3,0.1,0.106650451,1.888561293,1.009786313
2,3,1,8.30E-05,3.096751156,2.349966159
2,4,0.01,0.004666685,1.019062421,0.55091887
2,4,0.1,0.026437237,1.113267752,0.607155882
2,4,1,0.000160226,3.149167979,2.380755656
2,5,0.01,0.075790561,3.391200528,0.429131878
2,5,0.1,0.484840111,14.12992542,7.415199518
2,5,1,0.354393276,28.23765303,3.821839384
2,6,0.01,0.151242757,9.146931514,2.152418095
2,6,0.1,0.03569541,4.57432592,2.149952106
2,6,1,0.465593544,26.55493643,1.804850531
2,7,0.01,0.451894511,22.05750424,2.316137946
2,7,0.1,0.598741307,20.73590003,4.234563644
2,7,1,0.03952415,23.89474418,16.3653459
2,8,0.01,0.134875049,3.62053809,0.252517075
2,8,0.1,0.574488064,9.922940908,0.646140264
2,8,1,0.376251341,7.296407494,2.284887762
2,9,0.01,0.331809587,19.37104391,0.913875928
2,9,0.1,1.04E-05,2.602053902,0.636572863
2,9,1,0.093320466,7.33009954,2.029727858
2,10,0.01,0.445586865,29.16690053,4.520730247
2,10,0.1,0.066581661,35.37358226,0.643236156
2,10,1,0.029666266,35.8108199,4.291121511
2,11,0.01,0.502169294,41.17042598,0.980425363
2,11,0.1,0.200355804,8.405748183,0.53504501
2,11,1,0.004968753,7.289600229,4.538601513
2,12,0.01,2.45E-06,3.362546216,0.568515382
2,12,0.1,0.015651934,7.11867708,1.42081787
2,12,1,2.76892532,50.02537258,3.917561899
2,13,0.01,0.289001005,27.13967504,0.500498469
2,13,0.1,0.095331515,50.98890881,0.770228029
2,13,1,0.685813223,34.60453305,3.428820813
2,14,0.01,0.201401309,30.42727076,3.308898333
2,14,0.1,0.01928383,32.26364159,1.534276796
2,14,1,7.24E-05,5.066786339,1.535385508
2,15,0.01,0.091075228,21.9805331,4.308863471
2,15,0.1,0.317783654,44.05538042,3.714663408
2,15,1,0.511313718,42.83706921,6.143058548
2,16,0.01,0.406462595,25.67206679,0.671019486
2,16,0.1,0.270793149,18.02934183,1.615777452
2,16,1,0.031857042,25.34053856,12.06337712
2,17,0.01,0.000782807,10.39290111,1.269392764
2,17,0.1,0.303873763,50.71846732,1.501977302
2,17,1,1.67E-08,5.099765559,1.980921998
2,18,0.01,8.38E-08,5.651334855,0.973682428
2,18,0.1,0.070831401,46.50214888,5.392495378
2,18,1,0.437461258,13.80003734,1.684681761
2,19,0.01,0.485656445,55.99793791,1.609646242
2,19,0.1,0.053743672,32.32711705,4.182181773
2,19,1,0.000138546,9.606034496,1.916634376
2,20,0.01,0.357734912,45.55921395,4.760296996
2,20,0.1,1.99E-07,12.01199335,1.344673224
2,20,1,6.18E-05,12.76279124,3.51847817
5,0,0.01,0.26847012,0.532137697,0.529623795
5,0,0.1,0.651050092,0.608293936,0.615100288
5,0,1,1.564290493,2.404999976,2.32447445
5,1,0.01,0.118193942,0.722889218,0.615034009
5,1,0.1,0.955674244,0.844604975,0.644617147
5,1,1,1.698791929,2.020567858,1.91577904
5,2,0.01,0.462752322,1.192420371,0.950966265
5,2,0.1,0.254046465,0.965313184,0.785970599
5,2,1,0.761573755,2.117167139,1.859145305
