N,d,var,E_in_bar,E_out_bar,E_bias
2,0,0.01,0.260286731,0.611359178,0.630915317
2,0,0.1,0.453938412,0.622579697,0.612943912
2,0,1,1.632870323,1.561632674,1.502709485
2,1,0.01,0.440430406,2.151054581,0.877314229
2,1,0.1,0.418006684,2.154778511,1.386547113
2,1,1,0.332768769,3.822002379,1.468369502
2,2,0.01,0.086586788,1.179044795,0.883462664
2,2,0.1,0.354753896,2.813065418,1.122668462
2,2,1,0.022529347,11.53699751,5.653708374
2,3,0.01,0.370384738,5.182948939,1.173714411
2,3,0.1,0.499190023,9.231661803,4.466235168
2,3,1,0.124896963,11.18992871,11.64478503
2,4,0.01,0.008876447,2.330496815,1.428294668
2,4,0.1,0.166809237,2.288358896,0.865990881
2,4,1,0.000307234,2.31295599,1.541376788
2,5,0.01,0.007045517,2.103681706,1.276417345
2,5,0.1,0.084518588,14.89180713,2.045613685
2,5,1,0.919152667,14.06175455,2.454543861
2,6,0.01,0.001749126,3.524571233,0.457969427
2,6,0.1,0.606379413,15.78078042,3.852610841
2,6,1,0.1230489,35.44474759,5.019114436
2,7,0.01,0.001457567,3.062673197,0.919156407
2,7,0.1,0.314359269,16.43212634,1.618651652
2,7,1,0.342456194,22.64204529,1.651638426
2,8,0.01,0.353274402,8.972109709,0.725559217
2,8,0.1,0.244307311,17.22077062,1.443308334
2,8,1,0.385088382,16.05472935,1.62484843
2,9,0.01,0.561349458,16.14929927,2.102988029
2,9,0.1,0.210172002,7.454324471,0.603487732
2,9,1,0.725487764,33.32651761,1.889353997
2,10,0.01,0.122988728,6.155797512,0.707981405
2,10,0.1,9.32E-05,6.573317164,2.323018742
2,10,1,0.44737619,15.16044028,2.014408851
2,11,0.01,0.003418701,4.454546714,0.845743724
2,11,0.1,5.57E-07,3.884005796,1.212475531
2,11,1,2.027395091,32.44500829,5.511196391
2,12,0.01,0.02424172,16.47475184,3.753637543
2,12,0.1,0.368742075,23.37056964,0.758116643
2,12,1,0.000125058,4.499108132,2.811526601
2,13,0.01,0.572266551,37.26760539,5.334715762
2,13,0.1,0.023670201,14.20221751,1.796999733
2,13,1,0.586273076,36.90367196,6.202997695
2,14,0.01,0.010213018,52.342878,1.349932151
2,14,0.1,4.93E-08,5.297560204,1.493818142
2,14,1,0.825991017,32.77527765,4.229987176
2,15,0.01,0.088941038,26.66883974,1.690607166
2,15,0.1,0.733114011,34.74625879,6.717203672
2,15,1,0.003928575,16.57592915,1.619292233
2,16,0.01,0.253884083,30.36679651,2.159448755
2,16,0.1,0.225277443,26.8357934,4.086777332
2,16,1,0.611432147,20.28634667,1.5554693
2,17,0.01,1.09E-06,9.536799251,2.00910938
2,17,0.1,0.159440583,26.92551057,0.963907529
2,17,1,0.197947637,41.80433692,24.81975866
2,18,0.01,0.080842703,28.61006524,0.680002302
2,18,0.1,0.227933578,42.91779453,1.100756688
2,18,1,0.121349754,44.47042235,2.9987311
2,19,0.01,0.168559767,53.37832439,0.844885578
2,19,0.1,0.074003846,31.4870085,3.390565046
2,19,1,0.319714259,67.70742587,7.330814229
2,20,0.01,0.046995484,22.81167037,0.968081112
2,20,0.1,0.295525903,34.20341773,0.939214617
2,20,1,0.011293378,20.63534445,4.094669741
5,0,0.01,0.778796866,0.526690872,0.514723094
5,0,0.1,0.527477057,0.616934971,0.595996273
5,0,1,1.148303547,1.607457458,1.592604448
5,1,0.01,0.634817912,1.742785592,0.903890685
5,1,0.1,0.493788849,0.967712989,0.839839653
5,1,1,1.13599851,1.823323962,1.663843744
5,2,0.01,0.435457142,2.721574951,1.198956785
5,2,0.1,0.487673323,1.319540462,0.725153307
5,2,1,0.836173363,2.024076701,1.908642024
5,3,0.01,0.143998993,1.738241913,1.044677069
5,3,0.1,0.573648001,0.682224437,0.426881176
5,3,1,0.643203812,2.888866819,2.000956327
5,4,0.01,0.804773114,0.640940334,0.3319538
5,4,0.1,0.408123016,1.517154775,0.759426634
5,4,1,3.211239412,3.374162622,2.53418143
5,5,0.01,0.562297851,1.807292107,0.54352515
5,5,0.1,0.37563827,1.033630384,0.497981064
5,5,1,1.039578992,2.347749061,1.72328103
5,6,0.01,0.066421057,1.9820477,0.501207986
5,6,0.1,0.454875592,2.569127609,1.248293275
5,6,1,0.481543414,1.917232837,1.236731662
5,7,0.01,0.207753948,2.057846057,0.65680751
5,7,0.1,0.618330404,1.055754513,0.526780497
5,7,1,0.82129412,3.626613761,2.571695805
5,8,0.01,0.51304461,2.977814098,0.206357145
5,8,0.1,0.546396821,2.19449508,0.511509495
5,8,1,0.701239328,3.956148256,2.107787398
5,9,0.01,0.743882198,2.534478363,0.433632472
5,9,0.1,0.867730122,1.124431292,0.393193673
5,9,1,0.541571016,3.260453099,1.458989307
5,10,0.01,0.605745906,1.039511627,0.432911586
5,10,0.1,0.823269136,1.610466076,0.696106056
5,10,1,0.258571703,3.850854229,2.059847033
5,11,0.01,0.473704089,4.758631034,0.764209744
5,11,0.1,0.81073495,1.77831725,0.509899264
5,11,1,0.371103207,7.318988022,1.892827202
5,12,0.01,0.681369901,2.073995142,0.592496159
5,12,0.1,0.60739375,1.180981381,0.667076933
5,12,1,1.483697103,1.738587224,1.342399827
5,13,0.01,0.652065638,28.33007754,1.813422805
5,13,0.1,0.401783287,27.90458935,2.395995069
5,13,1,0.947294736,2.01169897,1.454372525
5,14,0.01,0.536816146,7.233663515,0.421830379
5,14,0.1,0.376932069,6.630175513,0.600548823
5,14,1,0.699700839,6.198878292,2.854494866
5,15,0.01,0.54782717,2.774292497,0.385002569
5,15,0.1,0.518369656,3.679933362,0.683285471
5,15,1,0.48171414,34.18861607,7.326994853
5,16,0.01,0.568809504,1.341155488,0.417799784
5,16,0.1,0.680809683,2.18087393,0.961252133
5,16,1,0.526854102,19.52901751,2.079406998
5,17,0.01,0.670819027,24.82345965,0.417642092
5,17,0.1,0.294343818,27.10663402,2.310070836
5,17,1,0.599462184,35.89647589,7.23532418
5,18,0.01,0.320571276,6.508417312,0.475032695
5,18,0.1,0.46493083,2.647642551,0.718175945
5,18,1,0.723543979,22.09767703,1.777685252
5,19,0.01,0.491197551,14.63133616,0.33575651
5,19,0.1,0.307707586,7.194984509,0.45275737
5,19,1,0.548792195,3.453310113,1.525892455
5,20,0.01,0.691548779,7.39931451,1.394767656
5,20,0.1,0.3489516,10.53057733,0.453092241
5,20,1,0.367110332,6.113906826,2.30897031
10,0,0.01,0.466314628,0.533047185,0.506940557
10,0,0.1,0.425302275,0.784169597,0.772808965
10,0,1,1.185098895,1.523547619,1.481222842
10,1,0.01,0.639274478,1.504031558,0.708145109
10,1,0.1,0.530443433,0.865095826,0.685068566
10,1,1,1.145145419,1.869339099,1.596179771
10,2,0.01,0.322357026,0.669294651,0.578614055
10,2,0.1,1.108564776,0.638006768,0.479002627
10,2,1,0.942305009,1.777513789,1.632790873
10,3,0.01,0.419260895,0.704459151,0.475257071
10,3,0.1,0.432650018,0.848286941,0.565355767
10,3,1,1.387377233,1.745884356,1.52355379
10,4,0.01,0.599694454,0.804319962,0.383296111
10,4,0.1,0.472675856,1.017652102,0.639226761
10,4,1,1.461378836,2.105697227,1.391146448
10,5,0.01,0.704130278,0.704173414,0.2706085
10,5,0.1,0.536990715,0.918916518,0.384321693
10,5,1,1.299588461,2.10527832,1.718463601
10,6,0.01,0.594967042,1.45893689,0.394186231
10,6,0.1,0.375136779,1.761108591,0.607972886
10,6,1,1.666240104,2.119043786,1.569361638
10,7,0.01,0.799856749,1.074715069,0.417426084
10,7,0.1,0.588490042,0.766457178,0.312114626
10,7,1,0.900256529,2.798847841,1.744106329
10,8,0.01,0.676004574,1.227448087,0.245946379
10,8,0.1,0.66257798,7.412038095,1.340898786
10,8,1,1.698761253,2.551780857,1.773220823
10,9,0.01,0.639316403,1.227624904,0.312433728
10,9,0.1,0.755379946,3.984262858,0.285938934
10,9,1,1.05047311,2.024723691,1.493438489
10,10,0.01,0.545264679,0.722186636,0.211463263
10,10,0.1,0.544457893,1.067116656,0.425838818
10,10,1,1.160582801,1.778522801,1.314525307
10,11,0.01,0.65051805,2.465604246,0.393215025
10,11,0.1,0.669052481,1.209307257,0.429410519
10,11,1,0.980702722,2.177352417,1.482173134
10,12,0.01,0.43836417,2.499962466,0.448893127
10,12,0.1,0.653122675,1.402598045,0.487990865
10,12,1,1.135805582,3.119076506,2.197549859
10,13,0.01,0.594249675,1.098976623,0.30442948
10,13,0.1,0.696774668,4.232817127,0.716191782
10,13,1,0.871727665,1.982697673,1.418360615
10,14,0.01,0.766531832,2.678011413,0.416640506
10,14,0.1,0.701878244,6.967095251,0.43077573
10,14,1,0.966077687,2.635070479,1.835053726
10,15,0.01,0.720547811,3.281237988,0.227591279
10,15,0.1,0.780274575,0.971996518,0.500818464
10,15,1,0.756117887,1.894068747,1.496867267
10,16,0.01,0.589176514,0.9275726,0.293523555
10,16,0.1,0.612532393,1.002136236,0.499913886
10,16,1,0.822916517,2.682812388,1.539115163
10,17,0.01,0.502684045,9.739904153,0.39213355
10,17,0.1,0.612377897,1.551964827,0.464146807
10,17,1,1.421735045,3.796709698,2.557044036
10,18,0.01,0.342913322,0.53816378,0.126036816
10,18,0.1,0.56947437,2.095983647,0.785286886
